type,distance
pure,102054.8731037809
pure,121618.95754858853
pure,72806.80266132006
pure,196661.6322107075
pure,76332.73825128668
pure,67539.53215371947
pure,116835.04508051295
pure,45854.01881859638
pure,19740.322605579095
pure,76116.27803035868
pure,102174.89172236627
pure,18208.408528395943
pure,266440.334996511
pure,20717.97373258692
pure,18705.09802294008
pure,136602.76066983046
pure,135832.64528585435
pure,152502.49924799197
pure,266172.3924627057
pure,33181.53072776702
pure,102299.72419228953
pure,127147.15748041899
pure,19391.051372890197
pure,151362.5702525659
pure,104605.78481100459
pure,76477.07235616203
pure,76415.32945500512
pure,65198.21968579202
pure,155068.14169928487
pure,10380.490350259128
pure,170849.5318224179
pure,282028.6053132273
pure,133055.69841921094
pure,17095.246967327483
pure,1391.7214945234784
pure,65007.52121969288
pure,64070.13468868874
pure,48632.47367106624
pure,168861.18457228836
pure,133933.99294272612
pure,102150.99195438308
pure,160246.43318793422
pure,169011.04239331698
pure,25138.1988224694
pure,490206.07664434414
pure,217643.53143564775
pure,102287.70424662932
pure,155459.84966864
pure,68536.37738582528
pure,26971.335687079172
pure,63170.49717558881
pure,15121.598050938912
pure,82614.42032087577
pure,48209.7291333436
pure,74159.957001691
pure,111780.00430325403
pure,96039.89526430155
pure,54119.48468367237
pure,112047.57189320821
pure,63298.10554374254
pure,74403.20707375549
pure,69095.79294273315
pure,147592.71721718187
pure,122844.19872379744
pure,84182.8631401318
pure,14729.864537061074
pure,157706.90752111064
pure,76725.45282845711
pure,482890.0768378575
pure,157957.20599412633
pure,139604.30001444148
pure,280265.36005996005
pure,309491.7299394059
pure,212597.1935790098
pure,372239.0088832956
pure,423870.08290918387
pure,216535.238409009
pure,171953.09572829836
pure,387102.2837775287
pure,502006.97408226377
pure,76585.16332639303
pure,157592.00719283897
pure,112036.1941637891
pure,168979.5241521824
pure,75140.27425070861
pure,82011.81798001625
pure,73380.47739419722
pure,135370.75381285424
pure,76553.606232692
pure,92969.3930166596
pure,179968.6390836263
pure,19303.68727080851
pure,176904.98946026296
pure,419956.92867986206
pure,58100.04580042804
pure,212663.85101972238
pure,240641.0519369769
pure,209580.25485453813
pure,504987.01813949045
pure,119964.49523804557
pure,382010.5015393246
pure,218439.1847352873
pure,77757.88216268522
pure,135310.06604263792
pure,175830.23857108227
pure,254999.41060136774
pure,246093.29452050079
pure,114423.90726520744
pure,246109.62561845334
pure,219750.31972594344
pure,201680.37070446767
pure,186559.62741336372
pure,186529.8734552982
pure,179085.02650626752
pure,174819.48601813108
pure,179074.20996247316
pure,66758.94145005009
pure,219750.6247741363
pure,178863.15313936025
pure,169105.82290917906
pure,166701.78630250652
pure,147404.9610279823
pure,180876.70964955192
pure,148376.41228008983
pure,295244.30009532935
pure,216053.78604703746
pure,155247.77814994077
pure,268340.5073169057
pure,246093.29452050079
pure,241301.29968817858
pure,212598.9413321571
pure,82047.74856367928
pure,21749.72183975632
pure,218658.2061158593
pure,445091.27328411327
pure,277592.9437882211
pure,60883.11054065835
pure,8067.228255661756
pure,9336.453611054956
pure,43918.12154772328
pure,8216.391046661523
pure,71847.17675376624
pure,179365.5022240786
pure,17280.952261991435
pure,17682.342040186155
pure,17303.11342697027
pure,17268.198454909845
pure,17327.022812738203
pure,17319.827072623444
pure,18260.467212481846
pure,18228.84847197738
pure,17803.001825392574
pure,18108.297996857753
pure,17682.342040186155
pure,51878.57414749761
pure,18054.554647283305
pure,44884.103143811255
pure,18345.90501780133
pure,60065.68829778242
pure,44884.103143811255
pure,60065.68829778242
pure,18358.66256995795
pure,18263.518237913308
pure,17647.106864023383
pure,17621.56050568087
pure,17654.4132878234
pure,18125.564007980436
pure,18123.89495657167
pure,171995.13103387345
pure,102054.8731037809
pure,39240.27270837228
pure,76116.27803035868
pure,201526.38206419977
pure,8307.427496016251
pure,16522.529930261197
pure,79616.58590240408
pure,16522.529930261197
pure,39966.99572614851
pure,44822.31737778307
pure,44886.99013340696
pure,44474.06213091847
pure,45235.14399024054
pure,440.87586762275515
pure,39983.007161972324
pure,178384.9199176947
pure,39595.59777853531
pure,85531.07799488939
pure,204595.22012238955
pure,94686.32923850809
pure,121987.39172951812
pure,118566.60740965896
pure,44884.103143811255
pure,44838.49771824976
pure,111987.67621247414
pure,123143.51087803733
pure,145350.06259224546
pure,94054.49666729372
pure,388786.4895404398
pure,388799.5854387024
pure,498932.5889043086
pure,39240.27270837228
pure,39969.02293575861
pure,204595.22012238955
pure,145813.50791027083
pure,25073.145707438314
pure,33357.75520896938
pure,28061.83135919827
pure,485088.10443168815
pure,486186.93447802775
pure,257092.7149234824
pure,329688.2262344128
pure,51928.63019071519
pure,485273.66694397735
pure,308605.2298170282
pure,76116.27803035868
pure,486122.1833830076
pure,257563.53077721084
pure,487727.8452534729
pure,18407.26735936022
pure,485058.29657905706
pure,494227.42663199245
pure,31160.444169295602
pure,81782.99764711561
pure,486119.32966556685
pure,2091.860649686922
pure,28225.51156600926
pure,258153.33434784945
pure,487058.7678338829
pure,41907.3363533799
pure,739909.714326515
pure,485128.4635191034
pure,31160.444169295602
pure,28239.966478279333
pure,78774.07985066652
pure,53619.8862372966
pure,50263.780612556395
pure,120783.9674749375
pure,41907.3363533799
pure,219580.52558385738
pure,186531.86350341517
pure,102062.24542911512
pure,127468.53199208992
pure,164206.22848825596
pure,80620.87855671081
pure,44829.42508504858
pure,135373.60374411114
pure,132959.6471764488
pure,76861.67302702599
pure,20683.795733272047
pure,164206.22848825596
pure,2034.6395308849842
pure,3091.8023958652257
pure,187288.2563616965
pure,1837.020925361182
pure,84465.88386179216
pure,112213.21922272086
pure,29603.212991376768
pure,180267.67150100815
pure,195833.42836066702
pure,157209.183614533
pure,180278.2361202585
pure,180120.63097502023
pure,80700.6852746477
pure,64760.752350325776
pure,184850.69831332474
pure,204067.36199858514
pure,189013.24618709594
pure,194197.4917995847
pure,157877.90667383687
pure,194239.0467429149
pure,17286.414238875976
pure,209580.25485453813
pure,2069.406876446226
pure,35432.177093434955
pure,150831.41557627186
pure,173971.73531007464
pure,44838.88668411276
pure,196894.16521007227
hybrid,16862.610330125346
hybrid,8.434237744761583
hybrid,25496.522096218876
hybrid,127471.20974736377
hybrid,81866.40216932316
hybrid,44869.756947862326
hybrid,241301.29968817858
hybrid,6809.791751450423
hybrid,79605.86920362037
hybrid,44415.74727067786
hybrid,44884.103143811255
hybrid,44884.103143811255
hybrid,44884.103143811255
hybrid,44884.103143811255
hybrid,44884.103143811255
hybrid,25072.575405387506
hybrid,36039.659385371335
hybrid,50526.070484645286
hybrid,39240.27270837228
hybrid,76116.27803035868
hybrid,139604.30001444148
hybrid,34359.88591046033
hybrid,59836.65593778577
hybrid,45474.646934749006
hybrid,44863.37657287107
hybrid,69423.20145563065
hybrid,187320.00208209874
hybrid,2056.6015957179243
hybrid,216301.4087611589
