#,superregion,site/cluster,X,Y,darkbirds,light birds,total birds,%dark
1,LP,LP Grp 1,28.05,-24.28,8,28,36,0.2222222222
2,MP,MP Grp1,30.75749,-25.510604,3,25,28,10.71428571
3,MP,MP Grp 2,29.67,-25.14,0,18,18,0
4,KZN,KZN Grp 1,30.78,-29.02,9,30,39,23.07692308
5,KZN,KZN Grp 2,30.12,-29.02,1,5,6,16.66666667
6,KZN,KZN Grp 3,31.08,-30.05,13,37,50,26
7,KZN,KZN Grp 4,29.75,-29.995,5,12,17,29.41176471
8,KZN,KZN Grp 5,30.33,-30.95,0,2,2,0
9,KZN,KZN North,32.44228,-27.382656,1,4,5,20
10,FS,FS Grp 1,27.15,-29.54,0,2,2,0
11,FS,FS Grp 2,26.21,-29.01,0,8,8,0
12,GP,GP Grp 1,27.94,-26.68,0,2,2,0
13,GP,GP Grp 2,28.38,-24.87,0,5,5,0
14,GP,GP Grp 3,28.14,-25.65,4,40,44,9.090909091
15,GP,GP Grp 4,27.17,-25.95,0,4,4,0
16,EC,EC Grp 1,28.85,-32.09,0,2,2,0
17,EC,EC Grp 2,32.09,-31.12,3,0,3,100
18,EC,EC Grp 3,25.6,-33.95,15,14,29,51.72413793
19,EC,EC Grp 4,26.9,-32.32,3,1,4,75
20,WC,WC Grp 1,18.43,-33.98,65,15,80,81.25
21,WC,WC Grp 2,19.15,-34.41,12,7,19,63.15789474
22,WC,WC Grp 3,20.25,-34.13,4,3,7,57.14285714
23,WC,WC Grp 4,21.89,-33.49,8,5,13,61.53846154
24,WC,WC Grp 5,18.28,-33.28,1,0,1,100
,,,,TOTAL,155,269,424,36.55660377